Woo Order Number,Order ID,Channel ID,Country,State,order_created_ts,Order Updates,Update Timestamp,Carrier,Tracking Number,Tracking Shipped,shipstation_create_ts,pipe17_ts,delivered_ts,Channel,order_to_shipstation_hrs,shipstation_to_pipe17_hrs,pipe17_to_delivered_hrs,order_to_delivered_hrs,sales_channel,delivery_speed_category,order_date_day
309323,113-3773065-1299430,90,US,UT,9/27/2025 15:21,,9/29/2025 7:39,FedEx,3.93718E+11,9/29/2025 14:55,9/27/2025 13:20,,,,-2.009722222,,,,nan,,9/27/2025
309319,113-0464584-4176253,90,US,VA,9/27/2025 11:36,,9/29/2025 7:39,FedEx,3.93719E+11,9/29/2025 14:56,9/27/2025 9:35,,,,-2.009166667,,,,nan,,9/27/2025
309317,nan,0,US,NJ,9/27/2025 9:33,,9/29/2025 7:39,FedEx,3.93718E+11,9/29/2025 14:56,,,,,,,,,nan,,9/27/2025
309320,nan,0,US,VA,9/27/2025 12:03,,9/29/2025 7:39,FedEx,3.93718E+11,9/29/2025 14:56,,,,,,,,,nan,,9/27/2025
309324,113-6132492-3933831,90,US,NJ,9/27/2025 21:06,,9/29/2025 7:39,FedEx,3.93719E+11,9/29/2025 14:56,9/27/2025 19:05,,,,-2.009722222,,,,nan,,9/27/2025
309330,114-2530101-2282638,90,US,VA,9/28/2025 14:06,,9/29/2025 7:39,FedEx,3.93719E+11,9/29/2025 14:56,9/28/2025 12:05,,,,-2.009722222,,,,nan,,9/28/2025
309327,113-2627365-2518632,90,US,NC,9/28/2025 10:21,,9/29/2025 7:39,FedEx,3.93719E+11,9/29/2025 14:56,9/28/2025 8:20,,,,-2.009444444,,,,nan,,9/28/2025
309334,111-9053360-7782653,90,US,OR,9/28/2025 20:51,,9/29/2025 7:40,FedEx,3.93719E+11,9/29/2025 14:57,9/28/2025 18:50,,,,-2.01,,,,nan,,9/28/2025
309325,nan,0,US,CA,9/27/2025 21:15,,9/29/2025 7:40,FedEx,3.9372E+11,9/29/2025 14:57,,,,,,,,,nan,,9/27/2025
309332,nan,0,US,WA,9/28/2025 17:44,,9/29/2025 7:40,FedEx,3.9372E+11,9/29/2025 14:57,,,,,,,,,nan,,9/28/2025
309329,114-2567443-2900250,90,US,SC,9/28/2025 13:36,,9/29/2025 7:40,FedEx,3.93719E+11,9/29/2025 14:58,9/28/2025 11:35,,,,-2.009444444,,,,nan,,9/28/2025
309333,111-5642046-5221040,90,US,TX,9/28/2025 19:51,,9/29/2025 7:40,FedEx,3.93718E+11,9/29/2025 14:58,9/28/2025 17:50,,,,-2.01,,,,nan,,9/28/2025
